tweet_id,text,in_response_to_tweet_id,your_intent_label,should_escalate (yes/no),escalation_reason,notes
312452,@Delta Thank you,312453,praise_or_noise,no,,
2610070,@Delta Still waiting on a hot plane 4 hours and 16 minutes later......,2610069,flight_delay_status,no,, Annoyed but not yet a crisis 
864657,Heading home - tnx @Delta - @123223 @153480 @1556 https://t.co/Ypr8qBKah3,,praise_or_noise,no,," Ambiguous multi-mention tweet, possibly not primarily addressed to Delta"
257289,"@delta bag tags off others bags, only difference between me and the others behind me was that I was a little white pregnant girl 3/3",,service_complaint,yes,Possible discrimination complaint (differential treatment implied) - SAFETY-NET - REVIEW CAREFULLY,
1718863,@Delta @520386 Actually that's not true.  How do I know: I had a 12 hour delay bc no airplane and no compensation. Oops.,1718857,refund_compensation,no,,
359591,@Delta If Iâ€™m trying to check in to connecting flight and it says unable doni just need to do it when I get to airport?,359590,checkin_seat_upgrade,no,,
153927,"@Delta So I donâ€™t get the MQDs because I spent my money on a ticket for another person, but I can transfer my Skymiles to another person from tickets purchased under my name. See, thatâ€™s confusing.",153925,loyalty_miles_status,no,,
1943296,"@delta 50 minutes and counting at Honolulu baggage claim. Oh yeah, yellow tags are coming out last. Please assist!!",,baggage_lost_item,no,,
840931,@Delta how do you loose my bag on a one-way flight ðŸ˜© it never even made it onto my plane...#whereismybag https://t.co/WRHO6sMZzR,,baggage_lost_item,no,,
2653492,"When did @Delta stop/quit giving beverages on domestic flights ðŸ˜”. No water, juice, coffee nothing even those delta cookies tjo!",,service_complaint,no,,
2046569,@Delta why canâ€™t I upgrade my seat to comfort + when there are still seats available in comfort +?,,checkin_seat_upgrade,no,,
1688754,"@Delta Hi, is it possible to buy an award ticket with Flying Blue miles on your website? Skymiles seems to be the only option. Thank you.",,loyalty_miles_status,no,,
529252,Last international flight for 2017. BRU-JFK with @delta using the last of my diamond status ðŸ˜­ #frequentflyer #travel https://t.co/JmdQHq6VnW,,praise_or_noise,no,, Celebratory/nostalgic tweet
2567306,"@delta my flight was listed as terminal 2 on my app, and it was actually in the Tom Bradley Int. Terminal 4 at LAX. If you list flighte in the wrong terminals I bet  people  miss their flights",,service_complaint,no,, Wrong terminal listed in app - operational/app accuracy complaint
1711516,Thanks @Delta - the on again/off again status of DL 4761 allowed me a lovely run to the gate....,,flight_delay_status,no,, Sarcastic thanks about on-again/off-again delay status
1194072,@Delta The effect is I might be running to make a connection instead of strolling.,1194071,rebooking_connection,no,," Continuation - connection risk due to delay, not yet critical"
2072521,"@Delta if miss connection b/c of maintenance issue, will you pay for hotel?",,refund_compensation,no,, Hypothetical question about hotel comp for missed connection due to maintenance
656730,"@AmericanAir I think itâ€™s time to look for a new airline credit card if this is how youâ€™re going to treat your members. What do you think? @116450 @Delta @AlaskaAir do you all pull this crap of charging extra for aisle/window seats? If not, looking for a new customer?",656733,service_complaint,no,, Primarily addressed to AmericanAir; Delta only tagged - possible off-topic/multi-brand tweet
102256,@Delta I have a miles question.  I just bought 2 tickets with miles and cash.  Does the cash go toward my MQDs?,,loyalty_miles_status,no,,
1953182,@Delta The gate agents did not even think about checking passenger status for boarding!!!!!,,service_complaint,no,, Gate agents not checking boarding status
2401852,Thank you @delta for picking me up at the footbridge in a #porsche and driving me to myâ€¦ https://t.co/181Qts1X0Q,,praise_or_noise,no,,
2600419,@Delta hello! When booking just now on the fly Delta app I pressed purchase &amp; got a message that it couldnâ€™t connect to app &amp; to try again later. Was just about to press confirm on rebooking via desktop when I got an email with confirmation. Can you check that weâ€™re good to go?,,general_policy_info,no,,  Booking/rebooking confirmation status check
1153993,@Delta I am keeping my eye on the app for updates,1153994,praise_or_noise,no,,"  Non-actionable follow-up/continuation, no new ask"
1013102,"My worst nightmare has come true: Two babies in front of me and snotty mcsnorterson to my left. Thanks, @Delta.",,service_complaint,no,,"  Venting about seatmates, not really Delta's fault - borderline whether this is even a real complaint"
1644749,@Delta How long does it usually take to do a name change via that online service? I have a flight in 7 days and want to add my skymiles to it.,1644747,general_policy_info,no,,"  Name change process question, tangential to skymiles"
2780902,@Delta Reasons why I have a delta sky miles credit card ðŸ‘ðŸ¼#bestairlineinthesky,2780903,praise_or_noise,no,, 
1023114,@Delta I did and they became even more rude and escalated the situation based on the wrong information I was given in #ATL Iâ€™m done with @Delta,1023113,service_complaint,yes,Escalating rudeness after being given wrong info; customer explicitly ending relationship, 
2283673,"@Delta Thanks! Flight was great! Missed our connection by the slimmest of margins, but everyone was very helpful in trying to make it work.",2283672,praise_or_noise,no,,  Positive despite missed connection
714278,@delta How can I contact the Diamond Medallion desk in-flight?,,loyalty_miles_status,no,, 
2848442,@Delta Still doesn't make it any less ludicrous.  Was flying from SYR to ATL to AUS - and wanted to change to SYR to AUS (still flying through ATL) - no difference to @Delta- just money grubbin.,2848445,service_complaint,no,,  Change fee policy complaint
413156,"@Delta is the worst.  Hey call this leg room, and of course too cheap to turn on the AC while we board the plane.  #worstairline ever!!! https://t.co/T0zeApEWCN",,service_complaint,no,, 
2785172,@Delta When will my 15k Medallion Bonus Miles reflect on my account?,,loyalty_miles_status,no,, 
1416149,@Delta u knew this flight was going to be delayed &amp; u just bouncing us around from gate to gate until thereâ€™s no gates left... #neverdelta,,flight_delay_status,no,,  Gate-bouncing during delay complaint
761362,".@Delta Hi, can I have someone please assist me. Thanks!",,general_policy_info,no,," context-free fragment, no specifics, can't determine actual need without seeing rest of thread."
1476651,@Delta I did contact them and they said I cannot use my skymiles for that particular trip. Which I do not know why,1476650,loyalty_miles_status,no,, 
2698310,NEVER FLYING @Delta again!!! Worst experience I have ever had!!!,,service_complaint,no,,"  Strong negative sentiment/churn threat, borderline escalate call - REVIEW"
2872908,".@Delta doesn't let you get on an earlier flight even if there are empty seats right before departure (unless you pay 75 DOLLARS!!!) and won't let you sit in their super elite ""comfort +"" seats even if they are empty. I miss @SouthwestAir !",,service_complaint,no,,  Policy complaint about upgrade/earlier-flight access
1202935,@Delta DL2441 is the flight that is delayed.,,flight_delay_status,no,,"  Fragment/reference, minimal context"
2522765,"@Delta My last fights have shown ""still processing - compete in 24 hours"" in SkyMiles for the last two days.  They'll make the difference for gold status for my next flight tomorrow.  Any chance you could speed up the processing?",,loyalty_miles_status,yes,Time-sensitive: needs processing sped up before status deadline tomorrow, 
344676,"@delta I have a question, a flight from London to Jamaica includes baggage of 23kg right ?",,general_policy_info,no,,  Baggage allowance policy question
1559179,@Delta can you bring an e-cig on a plane?,,general_policy_info,no,, 
